instr,TP,LT,ports
bsrl-r32_mem,1.0,None,"(0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0)"
bsr-r64_mem,1.0,None,"(0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0)"
bsrq-r64_mem,1.0,None,"(0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0)"
bsr-,1.0,None,"(0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0)"
bsr-r32_r32,1.0,None,"(0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0)"
bsrl-r32_r32,1.0,None,"(0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0)"
bsr-r64_r64,1.0,None,"(0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0)"
bsrq-r64_r64,1.0,None,"(0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0)"
setp-mem,1.0,None,"(0.5,0.0,0.3333333333333333,0.3333333333333333,1.0,0.0,0.5,0.3333333333333333)"
setp-r8,0.5,None,"(0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0)"
setpb-r8,0.5,None,"(0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0)"
lock dec-mem,1.0,None,"(0.75,0.75,0.8333333333333333,0.8333333333333333,1.0,0.75,0.75,0.3333333333333333)"
lock dec-mem,1.0,None,"(0.75,0.75,0.8333333333333333,0.8333333333333333,1.0,0.75,0.75,0.3333333333333333)"
lock dec-mem,1.0,None,"(0.75,0.75,0.8333333333333333,0.8333333333333333,1.0,0.75,0.75,0.3333333333333333)"
lock dec-mem,1.0,None,"(0.75,0.75,0.8333333333333333,0.8333333333333333,1.0,0.75,0.75,0.3333333333333333)"
out-imd_r8,7.083333333333333,None,"(7.083333333333333,2.583333333333333,1.3333333333333333,1.3333333333333333,1.0,3.583333333333333,5.75,0.3333333333333333)"
outb-imd_r8,7.083333333333333,None,"(7.083333333333333,2.583333333333333,1.3333333333333333,1.3333333333333333,1.0,3.583333333333333,5.75,0.3333333333333333)"
out-imd_r32,7.083333333333333,None,"(7.083333333333333,2.583333333333333,1.3333333333333333,1.3333333333333333,1.0,3.583333333333333,5.75,0.3333333333333333)"
outl-imd_r32,7.083333333333333,None,"(7.083333333333333,2.583333333333333,1.3333333333333333,1.3333333333333333,1.0,3.583333333333333,5.75,0.3333333333333333)"
out-r16_r8,7.083333333333333,None,"(7.083333333333333,2.583333333333333,1.3333333333333333,1.3333333333333333,1.0,3.583333333333333,5.75,0.3333333333333333)"
out-r16_r32,7.083333333333333,None,"(7.083333333333333,2.583333333333333,1.3333333333333333,1.3333333333333333,1.0,3.583333333333333,5.75,0.3333333333333333)"
call far-mem,1.0,None,"(0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0)"
cmovnle-mem,0.5,None,"(0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.0)"
cmovnle-r32_mem,0.5,None,"(0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.0)"
cmovnlel-r32_mem,0.5,None,"(0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.0)"
cmovnle-r64_mem,0.5,None,"(0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.0)"
cmovnleq-r64_mem,0.5,None,"(0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.0)"
cmovnle-,0.5,None,"(0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0)"
cmovnle-r32_r32,0.5,None,"(0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0)"
cmovnlel-r32_r32,0.5,None,"(0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0)"
cmovnle-r64_r64,0.5,None,"(0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0)"
cmovnleq-r64_r64,0.5,None,"(0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0)"
sbb-mem_imd,1.25,None,"(1.25,0.25,0.8333333333333333,0.8333333333333333,1.0,0.25,1.25,0.3333333333333333)"
sbb-r8_imd,0.75,None,"(0.75,0.25,0.0,0.0,0.0,0.25,0.75,0.0)"
sbb-mem_imd,1.25,None,"(1.25,0.25,0.8333333333333333,0.8333333333333333,1.0,0.25,1.25,0.3333333333333333)"
sbb-mem_imd,1.25,None,"(1.25,0.25,0.8333333333333333,0.8333333333333333,1.0,0.25,1.25,0.3333333333333333)"
sbb-mem_imd,1.25,None,"(1.25,0.25,0.8333333333333333,0.8333333333333333,1.0,0.25,1.25,0.3333333333333333)"
sbb-imd,0.5,None,"(0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0)"
sbb-r32_imd,0.5,None,"(0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0)"
sbbl-r32_imd,0.5,None,"(0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0)"
sbb-r64_imd,0.5,None,"(0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0)"
sbbq-r64_imd,0.5,None,"(0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0)"
sbb-mem_imd,1.25,None,"(1.25,0.25,0.8333333333333333,0.8333333333333333,1.0,0.25,1.25,0.3333333333333333)"
sbb-mem_imd,1.25,None,"(1.25,0.25,0.8333333333333333,0.8333333333333333,1.0,0.25,1.25,0.3333333333333333)"
sbb-mem_imd,1.25,None,"(1.25,0.25,0.8333333333333333,0.8333333333333333,1.0,0.25,1.25,0.3333333333333333)"
sbb-imd,0.5,None,"(0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0)"
sbb-r32_imd,0.5,None,"(0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0)"
sbbl-r32_imd,0.5,None,"(0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0)"
